user,data_point,mse,time_hour
user6,257,0.043213587,16:00
user6,258,0.0355248,17:00
user6,259,0.05344567,18:00
user6,260,0.037283994,19:00
user6,261,0.034430996,20:00
user6,262,0.031488948,21:00
user6,263,0.03531085,22:00
user6,264,0.036890592,23:00
user6,265,0.037766125,00:00
user6,266,0.037835166,01:00
user6,267,0.036066428,02:00
user6,268,0.03348034,03:00
user6,269,0.033528924,04:00
user6,270,0.033807106,05:00
user6,271,0.06343222,06:00
user6,272,0.038082592,07:00
user6,273,0.04965299,08:00
user6,274,0.03366594,09:00
user6,275,0.039839484,10:00
user6,276,0.040831372,11:00
user6,277,0.035033323,12:00
user6,278,0.031476922,13:00
user6,279,0.033164404,14:00
user6,280,0.06833705,15:00
user6,281,0.0623704,16:00
user6,282,0.05989503,17:00
user6,283,0.040907457,18:00
user6,284,0.036154088,19:00
user6,285,0.03314969,20:00
user6,286,0.031080585,21:00
user6,287,0.034808356,22:00
user6,288,0.038799174,23:00
user6,289,0.03944346,00:00
user6,290,0.037564006,01:00
user6,291,0.03685722,02:00
user6,292,0.033708483,03:00
user6,293,0.032013994,04:00
user6,294,0.030679643,05:00
user6,295,0.04166911,06:00
user6,296,0.04082275,07:00
user6,297,0.032827772,08:00
user6,298,0.034851022,09:00
user6,299,0.030766716,10:00
user6,300,0.03248391,11:00
user6,301,0.031104542,12:00
user6,302,0.03235911,13:00
user6,303,0.031473137,14:00
user6,304,0.03131722,15:00
user6,305,0.031307366,16:00
user6,306,0.034735527,17:00
user6,307,0.03209901,18:00
user6,308,0.043891035,19:00
user6,309,0.032292094,20:00
user6,310,0.03275953,21:00
user6,311,0.033687294,22:00
user6,312,0.03567586,23:00
user6,313,0.035803556,00:00
user6,314,0.035891153,01:00
user6,315,0.030955216,02:00
user6,316,0.030648222,03:00
user6,317,0.0348111,04:00
user6,318,0.031633493,05:00
user6,319,0.03232365,06:00
user6,320,0.030803837,07:00
user6,321,0.0466362,08:00
user6,322,0.030967595,09:00
user6,323,0.03410876,10:00
user6,324,0.0362952,11:00
user6,325,0.03523634,12:00
user6,326,0.035433784,13:00
user6,327,0.0350584,14:00
user6,328,0.068430886,15:00
user6,329,0.06740588,16:00
user6,330,0.033891913,17:00
user6,331,0.030721216,18:00
user6,332,0.033433016,19:00
user6,333,0.03266836,20:00
user6,334,0.03072352,21:00
user6,335,0.03510621,22:00
user6,336,0.03691737,23:00
user6,337,0.0374937,00:00
user6,338,0.037772283,01:00
user6,339,0.037311252,02:00
user6,340,0.036274597,03:00
user6,341,0.031222824,04:00
user6,342,0.04063221,05:00
user6,343,0.059106972,06:00
user6,344,0.060563885,07:00
user6,345,0.03384597,08:00
user6,346,0.031895988,09:00
user6,347,0.030975558,10:00
user6,348,0.03311675,11:00
user6,349,0.03403939,12:00
user6,350,0.031039687,13:00
