user,data_point,mse
user6,112,0.034215998
user6,113,0.032196213
user6,114,0.03144478
user6,115,0.03102348
user6,116,0.030885916
user6,117,0.033575974
user6,118,0.035840668
user6,119,0.037455574
user6,120,0.038552854
user6,121,0.03927682
user6,122,0.03937956
user6,123,0.039668016
user6,124,0.03810685
user6,125,0.031180223
user6,126,0.030714326
user6,127,0.03194715
user6,128,0.03091052
user6,129,0.032991722
user6,130,0.030721363
user6,131,0.030732723
user6,132,0.030723413
user6,133,0.03079049
user6,134,0.031949557
user6,135,0.034791905
user6,136,0.038546864
user6,137,0.032700725
user6,138,0.03183943
user6,139,0.031433508
user6,140,0.030698799
user6,141,0.03332954
user6,142,0.034683418
user6,143,0.03622619
user6,144,0.03751339
user6,145,0.038126834
user6,146,0.03868213
user6,147,0.03804051
user6,148,0.03602227
user6,149,0.03103181
user6,150,0.030980747
user6,151,0.030727617
user6,152,0.031045655
user6,153,0.0321943
user6,154,0.030795882
user6,155,0.031526085
user6,156,0.038553365
user6,157,0.03076392
user6,158,0.038045432
user6,159,0.034207307
user6,160,0.043172643
user6,161,0.034796014
user6,162,0.031096268
user6,163,0.030705906
user6,164,0.031141322
user6,165,0.03284495
user6,166,0.03565585
user6,167,0.037051123
user6,168,0.037709557
user6,169,0.038104083
user6,170,0.038496558
user6,171,0.037352
user6,172,0.03217407
user6,173,0.03071067
user6,174,0.030797323
user6,175,0.031970676
user6,176,0.03292007
user6,177,0.033577427
user6,178,0.033120003
user6,179,0.03263712
user6,180,0.03167597
user6,181,0.030739449
user6,182,0.032145347
user6,183,0.042431567
user6,184,0.04501854
user6,185,0.03626675
user6,186,0.038879495
user6,187,0.030700289
user6,188,0.031051539
user6,189,0.033297654
user6,190,0.03504122
user6,191,0.036057595
user6,192,0.036614604
user6,193,0.036714833
user6,194,0.036283173
user6,195,0.03499138
user6,196,0.030751208
user6,197,0.034805372
user6,198,0.033231534
user6,199,0.030824134
user6,200,0.03142163
user6,201,0.03168018
user6,202,0.03166065
user6,203,0.031489607
user6,204,0.031033406
user6,205,0.03138466
user6,206,0.034252353
user6,207,0.038344983
user6,208,0.04194379
user6,209,0.04121184
user6,210,0.039164044
user6,211,0.031471226
user6,212,0.030765643
user6,213,0.032176875
user6,214,0.033681046
user6,215,0.034922685
user6,216,0.036164388
user6,217,0.037161063
user6,218,0.037540045
user6,219,0.037417237
user6,220,0.036150493
user6,221,0.03129325
user6,222,0.03155356
user6,223,0.0314387
user6,224,0.031693436
user6,225,0.030836659
user6,226,0.030868508
user6,227,0.030714195
user6,228,0.030702453
user6,229,0.030792845
user6,230,0.03347584
user6,231,0.03614638
user6,232,0.049786422
user6,233,0.047379415
user6,234,0.036020566
user6,235,0.035864092
user6,236,0.03132896
user6,237,0.032630954
user6,238,0.033972345
user6,239,0.035110034
user6,240,0.035742838
user6,241,0.036397267
user6,242,0.03677821
user6,243,0.03656284
user6,244,0.034892555
user6,245,0.039494358
user6,246,0.032761194
user6,247,0.03129469
user6,248,0.031485457
user6,249,0.03168462
user6,250,0.032261994
user6,251,0.032263927
user6,252,0.031777743
user6,253,0.030793933
user6,254,0.03139772
user6,255,0.035686895
user6,256,0.04093349
user6,257,0.04277396
user6,258,0.045841996
user6,259,0.031169923
user6,260,0.032426145
user6,261,0.034174733
user6,262,0.03554445
user6,263,0.036536872
user6,264,0.037429903
user6,265,0.03793711
user6,266,0.037986767
user6,267,0.03731639
user6,268,0.034589585
user6,269,0.032613054
user6,270,0.030786823
user6,271,0.030696813
user6,272,0.0313422
user6,273,0.030806188
user6,274,0.031003477
user6,275,0.031770416
user6,276,0.032244828
user6,277,0.030854065
user6,278,0.031106306
user6,279,0.033115372
user6,280,0.033779826
user6,281,0.034531828
user6,282,0.034313142
user6,283,0.030706327
user6,284,0.032832425
user6,285,0.034887716
user6,286,0.03682132
user6,287,0.038112916
user6,288,0.039137438
user6,289,0.039523695
user6,290,0.03987221
user6,291,0.03949274
user6,292,0.033871282
user6,293,0.030700885
user6,294,0.031719297
user6,295,0.031035116
user6,296,0.033078685
user6,297,0.032933775
user6,298,0.031588774
user6,299,0.031837747
user6,300,0.030910052
user6,301,0.030777471
user6,302,0.041012116
user6,303,0.048388816
user6,304,0.095023245
user6,305,0.07964794
user6,306,0.036496133
user6,307,0.031106357
user6,308,0.03160554
user6,309,0.03348328
user6,310,0.03475324
user6,311,0.036252614
user6,312,0.037278052
user6,313,0.038100183
user6,314,0.03733254
user6,315,0.03689559
user6,316,0.03355209
user6,317,0.03616209
user6,318,0.031061718
user6,319,0.03085678
user6,320,0.030758748
user6,321,0.030697254
user6,322,0.031025888
user6,323,0.031288605
user6,324,0.031057684
user6,325,0.030696474
user6,326,0.03130911
user6,327,0.033349685
user6,328,0.033980526
user6,329,0.031583425
user6,330,0.030720674
user6,331,0.031307016
user6,332,0.03208169
user6,333,0.033452924
user6,334,0.0349515
user6,335,0.03594667
user6,336,0.036699336
user6,337,0.03711688
user6,338,0.037610307
user6,339,0.037531022
user6,340,0.03589974
user6,341,0.031128386
user6,342,0.030702848
user6,343,0.031053005
user6,344,0.031305596
user6,345,0.030860601
user6,346,0.03075417
user6,347,0.030821534
